Code, Format, Type, Support, Marge, Rendu, Numérisation, Scan, Finition, Traitement, CodeProduit1, CodeProduit2, CodeProduit3, CodeProduit4, CodeProduit5, CodeProduit6
120, C41, Aucun, N, N, Aucune, N, Découpe par 4, Normal, 001000
120, C41, Aucun, N, N, Aucune, N, Découpe par 4, Express x2, 001000*2
120, C41, Aucun, N, N, Aucune, N, Découpe par 4, Express x3, 001000*3
120, C41, Aucun, N, N, Aucune, N, Découpe par 6, Normal, 001000
120, C41, Aucun, N, N, Aucune, N, Découpe par 6, Express x2, 001000*2
120, C41, Aucun, N, N, Aucune, N, Découpe par 6, Express x3, 001000*3
120, C41, Aucun, N, N, Aucune, N, En bande, Normal, 001000
120, C41, Aucun, N, N, Aucune, N, En bande, Express x2, 001000*2
120, C41, Aucun, N, N, Aucune, N, En bande, Express x3, 001000*3
120, C41, Aucun, N, N, SD, N, Découpe par 4, Normal, 001000, 001356
120, C41, Aucun, N, N, SD, N, Découpe par 4, Express x2, 001000*2, 001356
120, C41, Aucun, N, N, SD, N, Découpe par 4, Express x3, 001000*3, 001356
120, C41, Aucun, N, N, SD, N, Découpe par 6, Normal, 001000, 001356
120, C41, Aucun, N, N, SD, N, Découpe par 6, Express x2, 001000*2, 001356
120, C41, Aucun, N, N, SD, N, Découpe par 6, Express x3, 001000*3, 001356
120, C41, Aucun, N, N, SD, N, En bande, Normal, 001000, 001356
120, C41, Aucun, N, N, SD, N, En bande, Express x2, 001000*2, 001356
120, C41, Aucun, N, N, SD, N, En bande, Express x3, 001000*3, 001356
120, C41, Aucun, N, N, SD, N, Détruire le négatif, Normal, 001000, 001356
120, C41, Aucun, N, N, SD, N, Détruire le négatif, Express x2, 001000*2, 001356
120, C41, Aucun, N, N, SD, N, Détruire le négatif, Express x3, 001000*3, 001356
120, C41, Aucun, N, N, HS 1800 L, O, Découpe par 4, Normal, 001000, 001357
120, C41, Aucun, N, N, HS 1800 L, O, Découpe par 4, Express x2, 001000*2, 001357
120, C41, Aucun, N, N, HS 1800 L, O, Découpe par 4, Express x3, 001000*3, 001357
120, C41, Aucun, N, N, HS 1800 L, O, Découpe par 6, Normal, 001000, 001357
120, C41, Aucun, N, N, HS 1800 L, O, Découpe par 6, Express x2, 001000*2, 001357
120, C41, Aucun, N, N, HS 1800 L, O, Découpe par 6, Express x3, 001000*3, 001357
120, C41, Aucun, N, N, HS 1800 L, O, En bande, Normal, 001000, 001357
120, C41, Aucun, N, N, HS 1800 L, O, En bande, Express x2, 001000*2, 001357
